 I-128,442.901,1.112428577,141.172159
Ba-139,454.73,0.144927822,19.90250306
Lu-177,457.944,11.01892919,1927.94678
Ba-138,462.78,0.110896193,15.22904151
Ni-59,464.978,3.304097006,193.9286872
 Na-24,472.202,4.735765412,108.8741542
Th-233,472.3,0.161943278,37.57700411
Ce-141,475.04,0.132795799,18.60681622
Ru-102,475.095,2.200199318,222.374145
Li-7,477.595,0.04985085,0.346014749
B-11,477.595,14977.87961,161925.8565
Os-188,478.04,0.621349231,118.1992642
 W-187,479.55,3.177637571,584.176891
 La-140,487.021,4.485673266,623.0845533
Rb-86,487.89,0.128947315,11.0208433
Dy-165,496.931,60.91987333,9899.485508
Ge-71,499.87,0.489884293,35.58519506
Cs-134,510.795,2.510493843,333.6583187
Pd-106,511.843,8.132472606,865.4577348
Br-82,512.488,0.568214707,45.40262797
P-32,512.646,0.551298564,17.07579051
 Yb-175,514.868,11.21062581,1940.04364
Cl-36,517.073,45.96272997,1629.516666
Se-77,520.637,3.415344783,269.675624
Dy-165,538.609,89.19486052,14494.17375
Ru-100,539.538,3.167351524,320.1242185
U-239,552.069,0.179333154,42.68647521
 Br-82,554.348,2.157009501,172.3536872
 Rb-86,555.61,0.097796767,8.358474558
Co-60,555.972,20.06535034,1182.515204
Rb-86,556.82,0.219082626,18.72451003
Os-190,557.978,0.90447733,172.0587225
Cd-114,558.32,3387.697653,380814.4808
 As-76,559.1,5.460471397,409.1072538
Zr-92,560.958,0.063776434,5.817941383
 Sb-122,564.24,4.509968059,549.1337109
Th-233,566.63,0.166090302,38.53927145
La-140,567.386,0.488806265,67.89786402
Os-190,569.344,0.737780061,140.3479011
 Pb-207,569.702,0.001365816,0.28299709
Pb-207,569.702,0.000103412,0.021426923
Th-233,583.27,2.39E-01,55.57098326
F-20,583.561,0.037308986,0.708848353
Mg-25,585,0.256824162,6.242111258
Ge-74,595.851,2.975963349,216.1739777
Te-124,602.729,3.761491005,479.9662522
Ge-74,608.353,0.667613736,48.49546176
U-239,612.253,0.186691098,44.43787855
Se-78,613.724,5.228389609,412.8336435
Pd-106,616.192,1.137443651,121.0467534
Nd-144,618.062,17.84352678,2573.78599
Ba-139,627.29,0.407434658,55.95177922
Ru-102,627.97,0.331173307,33.47168613
 Ga-72,629.96,1.333905999,93.003928
Xe-132,630.29,2.037764856,267.5442612
Ru-102,631.22,0.562661347,56.86818232
Os-188,633.14,0.581852744,110.6858475
P-32,636.663,0.189327844,5.864195568
Yb-175,639.261,1.554186308,268.9581574
V-52,645.703,2.821482612,143.7305565
Te-124,645.819,0.385199888,49.15150577
Cd-114,651.19,592.1836572,66567.95709
F-20,656.006,0.019190841,0.364614458
Ce-141,661.99,0.316587963,44.359039
F-20,665.207,0.014390587,0.273412524
Xe-132,667.79,9.342447914,1226.598014
 W-187,685.73,3.174139798,583.5338605
Ru-100,686.907,0.925627241,93.5531452
Se-78,694.914,1.00223357,79.13636268
Nd-144,696.499,41.18617368,5940.776064
Sn-120,703.87,0.011646578,1.382565266
Ge-71,708.15,0.200564152,14.56898002
Pd-106,717.356,1.279245782,136.1373361
Te-124,722.772,0.71076474,90.69358079
Sm-150,737.44,684.0741264,102857.3856
